







root:	 win_komis:1557328	 total_komis:3394546	 total_plays:69559
Node:6 2	win_komis:867	 total_komis:2315	 total_plays:47	 pattern_win:0
Node:6 3	win_komis:5217	 total_komis:10375	 total_plays:223	 pattern_win:0
Node:6 4	win_komis:2092	 total_komis:4538	 total_plays:89	 pattern_win:0
Node:6 5	win_komis:30198	 total_komis:55948	 total_plays:1084	 pattern_win:0
Node:6 6	win_komis:188870	 total_komis:335940	 total_plays:6875	 pattern_win:0
Node:6 7	win_komis:2585	 total_komis:5491	 total_plays:128	 pattern_win:0
Node:6 8	win_komis:20027	 total_komis:37313	 total_plays:738	 pattern_win:0
Node:6 9	win_komis:3404	 total_komis:7044	 total_plays:138	 pattern_win:0
Node:6 10	win_komis:1288	 total_komis:2946	 total_plays:50	 pattern_win:0
Node:6 11	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:6 12	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:7 0	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:7 1	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:7 2	win_komis:6896	 total_komis:13624	 total_plays:268	 pattern_win:0
Node:7 3	win_komis:10257	 total_komis:19459	 total_plays:389	 pattern_win:0
Node:7 4	win_komis:3544	 total_komis:7300	 total_plays:144	 pattern_win:0
Node:7 5	win_komis:5403	 total_komis:10765	 total_plays:204	 pattern_win:0
Node:7 6	win_komis:1385	 total_komis:3281	 total_plays:70	 pattern_win:0
Node:7 7	win_komis:3574	 total_komis:7234	 total_plays:129	 pattern_win:0
Node:7 8	win_komis:4880	 total_komis:9934	 total_plays:217	 pattern_win:0
Node:7 9	win_komis:15988	 total_komis:29954	 total_plays:622	 pattern_win:0
Node:7 10	win_komis:64163	 total_komis:118261	 total_plays:2391	 pattern_win:0
Node:7 11	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:7 12	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:8 0	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:8 1	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
